Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
90, 4096, 1, 2, 512, 0.910786, 1.34106, N/A, 0.175814, 0.181995, 2.55632, 0.321735, 2, 2, 1, 2, 2, 1, 14.0988, 2, 2, 0.5, 1, 1, 1, 63.3894, 
90, 8192, 1, 2, 512, 0.959, 1.3468, N/A, 0.180072, 0.195873, 4.57625, 0.372, 2, 2, 1, 2, 2, 1, 24.4132, 2, 2, 0.5, 1, 2, 1, 69.1373, 
90, 32768, 1, 2, 512, 1.0104, 1.45636, N/A, 0.206864, 0.282094, 16.5534, 0.735189, 2, 2, 1, 2, 2, 1, 54.2619, 2, 2, 2, 1, 4, 1, 71.0415, 
90, 32768, 1, 2, 512, 1.16901, 1.86336, N/A, 0.281232, 0.378924, 20.7385, 1.71123, 2, 2, 1, 2, 2, 1, 47.1357, 2, 2, 2, 1, 4, 1, 70.4152, 
90, 4096, 1, 2, 512, 1.05555, 1.69808, N/A, 0.242971, 0.253284, 3.22719, 0.862014, 2, 2, 1, 2, 2, 1, 10.6095, 2, 2, 0.5, 1, 1, 1, 62.9609, 
90, 4096, 1, 2, 512, 1.05555, 1.69808, N/A, 0.242971, 0.253284, 3.22719, 0.862014, 2, 2, 1, 2, 2, 1, 10.6095, 2, 2, 0.5, 1, 1, 1, 62.9609, 
90, 65536, 1, 2, 512, 1.37576, 2.03861, N/A, 0.320108, 0.523408, 40.5341, 2.56459, 2, 2, 1, 2, 2, 1, 62.6222, 2, 2, 2, 1, 4, 1, 75.2884, 
90, 4096, 1, 2, 512, 1.05555, 1.69808, N/A, 0.242971, 0.253284, 3.22719, 0.862014, 2, 2, 1, 2, 2, 1, 10.6095, 2, 2, 0.5, 1, 1, 1, 62.9609, 
28, 4096, 1, 2, 512, 0.361689, 0.739528, N/A, 0.0340552, 0.0336719, 3.74184, 0.0877294, 2, 2, 1, 1, 2, 2, 10.5012, 2, 2, 1, 1, 2, 1, 48.5289, 
28, 65536, 1, 2, 512, 0.527328, 0.910531, N/A, 0.0470498, 0.0701024, 43.3638, 0.248266, 2, 2, 1, 2, 2, 1, 62.6033, 2, 2, 2, 1, 4, 1, 75.384, 
